,MI_dir_L0.1_weight,H_L0.1_weight,HH_L0.1_weight,HH_L0.1_std,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,Attack,Attack_subType
0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1505914321.04468,0.0,0.0,0.0,0.0,0,0
1,1.93163968775498,1.93163968775498,1.93163968775498,1.34869915234861e-06,1.81898940354586e-12,0.0,0.0,1.93163968775498,726310169.416719,1.34869915234861e-06,1.81898940354586e-12,0.0,0.0,0,0
2,2.90427257251413,2.90427257251413,1.0,0.0,0.0,0.0,0.0,1.0,1505914322.2721,0.0,0.0,0.0,0.0,0,0
3,3.90254586237659,3.90254586237659,1.0,0.0,0.0,0.0,0.0,1.0,1505914322.28068,0.0,0.0,0.0,0.0,0,0
4,4.90254483048637,4.90254483048637,1.99999973558537,9.5367431640625e-07,9.09494701772928e-13,0.0,0.0,1.99999973558537,752957061.593883,0.0,0.0,0.0,0.0,0,0
5,5.90253932119427,5.90253932119427,2.99999748806227,9.5367431640625e-07,9.09494701772928e-13,0.0,0.0,2.99999748806227,501971164.242279,0.0,0.0,0.0,0.0,0,0
6,613.818537950257,613.818537950257,610.152839070514,3.814697265625e-06,1.4805501083264698e-11,4.22286911637174e-27,6.70172848818446e-16,610.152839070515,2284732.9171742,0.0,0.0,0.0,0.0,0,0
7,614.778927244372,614.778927244372,611.113464918124,3.814697265625e-06,1.4805501083264698e-11,4.22255985497053e-27,6.70123768776283e-16,611.113464918124,2280994.27771132,0.0,0.0,0.0,0.0,0,0
8,615.618169664219,615.618169664219,611.953665813982,3.56832255055804e-06,1.2862197421537499e-11,4.22589559044232e-27,8.78091096473659e-16,611.953665813982,2277266.88068542,0.0,0.0,0.0,0.0,0,0
9,616.596022016727,616.596022016727,612.931650001681,3.69356474514715e-06,1.3763152265184099e-11,4.22585691452694e-27,8.48308829200658e-16,612.931650001682,2273551.51229131,0.0,0.0,0.0,0.0,0,0
10,617.473888808621,617.473888808621,613.810242619714,3.69356474514715e-06,1.39125936955482e-11,4.2263575112332e-27,6.92723309174646e-16,613.810242619715,2269847.5149456,0.0,0.0,0.0,0.0,0,0
11,618.15737066638,618.15737066638,614.495602468602,3.56832255055804e-06,1.3021982397982698e-11,4.22651826828262e-27,7.17064020494771e-16,614.495602468602,2266153.67645688,0.0,0.0,0.0,0.0,0,0
12,619.156992688661,619.156992688661,615.495226729903,3.814697265625e-06,1.4805501083264698e-11,4.22767499389405e-27,6.70935545587263e-16,615.495226729904,2262471.83851885,0.0,0.0,0.0,0.0,0,0
13,620.156644796107,620.156644796107,616.494880894826,3.814697265625e-06,1.4805501083264698e-11,4.22882983376244e-27,6.71118819637015e-16,616.494880894826,2258801.94293882,0.0,0.0,0.0,0.0,0,0
14,621.156214352663,621.156214352663,617.494452992969,3.814697265625e-06,1.4805501083264698e-11,4.22998244288555e-27,6.71301739665631e-16,617.49445299297,2255143.93122393,0.0,0.0,0.0,0.0,0,0
15,622.156132231262,622.156132231262,618.49437135568,3.814697265625e-06,1.4805501083264698e-11,4.23113317710405e-27,6.71484362145323e-16,618.49437135568,2251497.74778934,0.0,0.0,0.0,0.0,0,0
16,623.155607864765,623.155607864765,619.493850075393,3.69356474514715e-06,1.39125936955482e-11,4.2322814097411e-27,6.9369426881701e-16,619.493850075394,2247863.3327786,0.0,0.0,0.0,0.0,0,0
17,623.748518474041,623.748518474041,620.089152804276,3.4385216478958e-06,1.1832173032651299e-11,4.24254465259816e-27,1.8296565308116602e-15,620.089152804277,2244238.26803882,0.0,0.0,0.0,0.0,0,0
18,624.699701620709,624.699701620709,621.040622346361,3.56832255055804e-06,1.27410437254383e-11,4.24495858746381e-27,1.7641043233447302e-15,621.040622346362,2240624.59417248,0.0,0.0,0.0,0.0,0,0
19,625.66835954702,625.66835954702,622.00946385389,3.69356474514715e-06,1.36499975449657e-11,4.24718085901058e-27,1.7051788997044302e-15,622.009463853891,2237022.35863804,0.0,0.0,0.0,0.0,0,0
20,626.528902296387,626.528902296387,622.870822146389,3.69356474514715e-06,1.36499975449657e-11,4.25388910241401e-27,1.7078721580057301e-15,622.87082214639,2233430.8878613,0.0,0.0,0.0,0.0,0,0
21,627.528633093371,627.528633093371,623.870554515154,3.93209993898169e-06,1.5468095945557197e-11,4.25728140976833e-27,1.605545885876e-15,623.870554515155,2229850.92905143,0.0,0.0,0.0,0.0,0,0
22,628.528415313206,628.528415313206,624.870338004504,3.69356474514715e-06,1.36499975449657e-11,4.2596963213751e-27,1.7102036686164401e-15,624.870338004505,2226282.42724646,0.0,0.0,0.0,0.0,0,0
23,629.527376613247,629.527376613247,625.869305349849,3.69356474514715e-06,1.36499975449657e-11,4.26210214864228e-27,1.7111695718893402e-15,625.86930534985,2222725.32289864,0.0,0.0,0.0,0.0,0,0
24,630.472573271713,630.472573271713,626.814820460754,3.69356474514715e-06,1.36499975449657e-11,4.26883233039961e-27,1.7138716381080302e-15,626.814820460755,2219179.25913453,0.0,0.0,0.0,0.0,0,0
25,631.440493564571,631.440493564571,627.7829268674,3.814697265625e-06,1.45519152283669e-11,4.27357314473837e-27,0.0,627.782926867401,2215644.31231864,0.0,0.0,0.0,0.0,0,0
26,632.440149205278,632.440149205278,628.78258450278,3.814697265625e-06,1.45519152283669e-11,4.27592649750406e-27,0.0,628.782584502781,2212120.60735779,0.0,0.0,0.0,0.0,0,0
27,633.416737935537,633.416737935537,629.759308626457,3.93209993898169e-06,1.54614099301398e-11,4.27815687523564e-27,0.0,629.759308626458,2208607.96280213,0.0,0.0,0.0,0.0,0,0
28,634.355451977376,634.355451977376,630.698376541262,3.69356474514715e-06,1.3710462946329499e-11,4.28748042062674e-27,9.93826830519373e-16,630.698376541263,2205106.11779419,0.0,0.0,0.0,0.0,0,0
29,635.330208680517,635.330208680517,631.673278772656,3.814697265625e-06,1.46157241760995e-11,4.2887159980089e-27,9.62546000025675e-16,631.673278772657,2201615.22116879,0.0,0.0,0.0,0.0,0,0
